index,time,chainId,txhash,taskId,spentAmount,spentAmount(USD),events,gasUsed,gasPrice,ethPrice,feeInETH,feeInUsd,originChain,originEthPrice,relayerFee,relayerFeeInUsd
0,2023-01-31 12:57:49.904340,56,0x5b81d55d857ba2b23fede6ef98bd68f7b1bd6408216581b24a142b2257f64901,0xd135e58c9333fb0b5258a37d0dae2c36e0219ec562b0bd8ffc8b54ff8810adff,2377890,$2.38,connext:Executed,288473,24165276869,310.555,6971029914231037,2.164888195014019695,1,1585.7032622021002,756197723446588,1.199104998662425
1,2023-02-05 19:05:45.288433,56,0x536641ec95ab103588d56304602bda366bd8765808dbf3d6241af2e36909db07,0xc1498794228b2b81ef57d7898eae188888eebffa2e26e3a9fa41ef75651467d1,1522230,$1.52,connext:TokenSwap->connext:Executed,337042,12601778824,325.598,4247328738398608,1.382921742565109967,42161,1632.0880027475505,773471383772952,1.2623733637992298
2,2023-01-31 17:26:42.630289,56,0xd7eb1dd40f3a061b55f6e95308ecd87a4c21b15dbb68e53edc92de8ca5c71a63,0xdf8a3903baf39de848cb9f1523ccd812a09b3f5b55996a70789a15fa0c32374c,1511246,$1.51,connext:TokenSwap->connext:Executed,353190,12472591351,312.193,4405194539259690,1.3752708987951004,1,1585.7032622021002,709571273525239,1.125169297142792
3,2023-01-30 14:49:31.763554,56,0x8b99f719b6b388c2388a1bc03ad06e5384f454b18342e29ec98634b774befbde,0x4ef3a2d09bdb13172eb29a2f134141d72ef84a0224cc574e108b57a7b61a0972,1492486,$1.49,connext:TokenSwap->connext:Executed,353130,12487616409,307.868,4409751982510170,1.357621523351441017,1,1564.4734911230605,742848759912805,1.1621668279670658
4,2023-02-05 20:22:01.352252,56,0x80832f516bb1ead786fd4a587209d7b653add6f324106e2b02d2ebab10364c04,0xf837a14d65f541a1951cfdbeebd52b391b9d2a1519495a57e07923e3425a7e36,1269712,$1.27,connext:TokenSwap->connext:ExternalCalldataExecuted->connext:Executed,634066,5580169492,326.299,3538195749114472,1.154509734740303099,10,1632.0880027475505,643926757543060,1.0509451338649378
5,2023-01-31 13:29:08.878905,56,0x76112fb6f594e99b3686e0c5abc8e38dbeaca1f4784a7b350852d59f0c75e0ba,0x6d70bbbd66fca18e6f7cda0d5e7cbfe9f6935dd6418aadfc155681675154e429,1243161,$1.24,connext:TokenSwap->connext:Executed,353194,10282109145,310.323,3631579257359130,1.126958938302199939,1,1585.7032622021002,756447998110695,1.1995018599481233
6,2023-02-06 05:20:03.825816,56,0xd6d372f7075559b33b926f8fb604ba61fb7bd794eeba739820b841a9b6c7f40e,0xa6b7feb5354deddea6ad700608d47caeda03e12e956e0fba174f847f56c60f06,1238956,$1.24,connext:TokenSwap->connext:ExternalCalldataExecuted->connext:Executed,618186,5603644662,325.085,3464094679023132,1.126125218730234866,10,1612.837343833541,594839923179055,0.9593798371803375
7,2023-02-05 10:15:01.150963,56,0x9dc3271a3c4072fe455492d03c6d07f74bf9c3ab2a9964d3346b2296e22d37dc,0x924db1a5bb79a57f37ce6abf02cb4a79d46abc4e58dad1471994c19f0a20de59,1224109,$1.22,connext:TokenSwap->connext:ExternalCalldataExecuted->connext:Executed,618042,5368331628,334.732,3317854416032376,1.110592044387349283,10,1632.0880027475505,636693395192215,1.0391396499724717
8,2023-02-04 20:41:16.331547,56,0xfa0c1ca76abafe8072d0ff838a9ed16fa21d315d941d745c37403c67229abc1e,0x822f8d1b025d8bb7d7132448a281ec94f99e8ed9ba3bd2e89ad9260a7130b579,1194768,$1.19,spokeConnector:AggregateRootVerified->spokeConnector:MessageProven->spokeConnector:Process,328602,10020568832,330.848,3292778959332864,1.089406040358400055,0,0,0,0
9,2023-02-01 22:35:55.216894,56,0xb0c19fb57cf371fe86b0322fb95a13957c0ff7bee7f400d833389fccccabd218,0x10a83f472960c66b3df5337050f48c6a9c3acc59eec2c8fa3755a831df6afc17,1162429,$1.16,connext:TokenSwap->connext:ExternalCalldataExecuted->connext:Executed,609489,5454353862,317.882,3324368680996518,1.056753640683854138,10,1642.8295124778838,618645822382249,1.0163292977384077
10,2023-01-29 02:31:26.992473,56,0x2dacd037b68b9ec0df8aa985a7b1c0950b397736d2dbb6f47bf5694e78448e67,0x45a11b20d9fd39d4d66a110505835704afa9c4de7977c9b3f39b37795b6a24cc,1124872,$1.12,connext:TokenSwap->connext:Executed,353174,9409370055,307.935,3323144859804570,1.023309289259060458,1,1647.7088464027872,740728364622628,1.2205040522156212
11,2023-02-05 13:09:59.497205,56,0x108b5a6a1bcd555b7f4c19aae5d59683101cd33c1e5f5506a2f68d5984b6b1ad,0xc5ce351730cc9bfec7c4308f85a721d7a2731b97693b5840095d6d599ac97ab4,1100755,$1.10,connext:TokenSwap->connext:ExternalCalldataExecuted->connext:Executed,604962,5067745877,325.448,3065793681241674,0.997753356179059078,10,1632.0880027475505,641735550821737,1.0473688916695472
12,2023-01-31 12:03:25.667128,56,0x90a731c481c73ef2151190b0f07eb5371dd1573c6a70d2319da335ec0575e7f4,0x54e4c39e50326c3964a63c02d8b39200756c4609a3035e1c6d3abebac4e9b4aa,1048862,$1.05,connext:TokenSwap->connext:Executed,338166,9120999819,309.392,3084412024791954,0.954292405174432231,1,1585.7032622021002,757915328058259,1.2018286094479653
13,2023-02-02 20:11:18.470685,56,0x5e7e050eaa3e5d1ce2341104f6cc0db0cfac35310b57d8d1f6a7d12a9efd0e94,0xab98f8ddc563cb7e7737cf263ad5f149a988042bab30d3e74d9f35d352cdc64e,1010363,$1.01,connext:TokenSwap->connext:Executed,352058,7945689051,328.027,2797343395916958,0.917604162132451981,137,1.1855516283348444,1028164616470588235,1.218375070517647
14,2023-02-04 20:25:29.900502,56,0x1f5c332955d3aa2994644dec4ca8a76444d8a5ec3d441ddab932f407d88934e1,0x13e0e95b930a1ac475977c88e8728c4a95fefe0ab17f06e423f8817e61cc3797,951612,$0.95,connext:TokenSwap->connext:Executed,336954,7761293716,330.703,2615198962781064,0.864851527389623426,42161,1664.6193092253604,755586838196801,1.2577642070123207
15,2023-02-04 01:40:12.727560,56,0x4bd9124f52d86007cd31ae8ec4e9d28851ae37369ee156e7ae05b18e4447004e,0xb842db596bbd4e49fbb176e3d2444e818e7d328a1fc2bf6228b78613bfd0817b,937187,$0.94,connext:TokenSwap->connext:Executed,480367,5337654929,332.631,2564033285278943,0.852876955715620089,10,1664.6193092253604,765705883975141,1.2746085628768153
16,2023-02-07 01:11:32.139114,56,0xfd984dd6888cd0c1a198d86499aa3d38ee316911531f9c3b76848f717243ffca,0x87527abe4d21f95318e6eb06986afbf88c79b2a3798e1b5a25662e3d3b7c5d6a,917977,$0.92,spokeConnector:AggregateRootVerified->spokeConnector:MessageProven->spokeConnector:Process,328590,7810434414,324.723,2566430644096260,0.833379058042869835,0,0,0,0
17,2023-01-29 03:41:00.364767,56,0x6dc3bc73bce97e36ca337c0ebe80f0c3e4710a75de3cd5832773db724f23810a,0x8edb630542abf8adc84166e3f75dc376719e5173e6d9c08d15bcf93c1a993b47,893900,$0.89,spokeConnector:AggregateRootVerified->spokeConnector:MessageProven->spokeConnector:Process,327709,8053727297,307.890,2639278918772573,0.8126075863008875,0,0,0,0
18,2023-02-04 22:41:34.138758,56,0x4839b484301d3cd6cf8fa1af200da170b9188c812cd2ae94fd91531ddc2acda3,0xd1c1227e6a83e0dce0d881fe2b5838c6eeb1151ab75f94694166d80acff0d160,867655,$0.87,spokeConnector:Process,287253,8309963882,330.723,2387062054996146,0.789456324014490393,0,0,0,0
19,2023-02-04 22:41:33.862779,56,0x795c05decc7c4622069bd9ae8d133260685713e19f2dbf5b58d541f56d045271,0x0aadabb2416e56e0df28e5d66e88c44a42c05904efecb389a9f5d1802ca9a97c,852415,$0.85,spokeConnector:Process,287289,8162982196,330.723,2345134992106644,0.775590079994485623,0,0,0,0
20,2023-02-04 22:41:33.864594,56,0x50cf27e3472e0bdb63fe7348cb9492e8eb73796d7de2ae3254df4248f59b34c4,0x92f7e0329e8577c7b8d528ffd9176ce54d554aff9e9028f2999d06948ecc8332,852344,$0.85,spokeConnector:Process,287265,8162982196,330.723,2344939080533940,0.775525287531426238,0,0,0,0
21,2023-02-04 22:41:34.175199,56,0xe1d35361f244a861f4d2ba8fe176636cec212bb6d04578fbdec778594f7287bd,0x4b7074c486493155d03f5451388c3f48bdaa3b00c2a2e98e10aec5f95fff2f96,852344,$0.85,spokeConnector:Process,287265,8162982196,330.723,2344939080533940,0.775525287531426238,0,0,0,0
22,2023-02-04 22:41:34.130792,56,0x96341cb93c300683fc40fa245706f29a8e015141dc15aa277269c10b5587171c,0x1ae3bcae1c45524b382e6b0083386fadfe5f5cac1954912623d19319d1f5f815,852308,$0.85,spokeConnector:Process,287253,8162982196,330.723,2344841124747588,0.775492891299896546,0,0,0,0
23,2023-02-04 01:11:20.670546,56,0xc5033469bd27941bd0a15ff2e1ac3f624c9d114f5b8d11a7b2bbf8df8ed75344,0x860595505eb4557460885f12e29d813121868df2e1314ce75347ef8f32c29128,849579,$0.85,spokeConnector:AggregateRootVerified->spokeConnector:MessageProven->spokeConnector:Process,328226,7070498169,333.028,2320721332018194,0.772865183759355111,0,0,0,0
