index,time,chainId,txhash,taskId,spentAmount,spentAmount(USD),events,gasUsed,gasPrice,ethPrice,feeInETH,feeInUsd,originChain,originEthPrice,relayerFee,relayerFeeInUsd
0,2023-02-01 19:18:21.204606,137,0x5df8f1cc311103fc2e9f523483ce36abe8fad492403757b734d888cfc7c4b214,0x7985f8418d107070833b1c50b08510556c458d0a568fed75c9a28785dbe5e299,561711,$0.56,spokeConnector:AggregateRootVerified->spokeConnector:MessageProven->spokeConnector:Process,348980,1331219260717,1.197,464568897605018660,0.556088970433207336,0,0,0,0
1,2023-02-07 09:16:18.087110,137,0xe844ac9b849fcaca7775c0b876aad2bc0c1dad1fb93a36fea7fef378c38c7f95,0x0fb4466c9e67f7297fa1f80c6b7ae76ee15093e90edb4d975a7fd79e3ebd90ea,551479,$0.55,connext:ExternalCalldataExecuted->connext:Executed,1673901,245440561357,1.260,410843201096043657,0.517662433381015007,1,1612.837343833541,50802241424616,0.0819357346525534
2,2023-02-01 19:18:21.192065,137,0x46dd84228ae1de43bdd72775b95c266778139f3f23785ad48912f4f2b521e164,0x0281209fef7761238150568db9090dad26a578f6e7f3d472e8e8c5ae7ae3a758,541900,$0.54,spokeConnector:MessageProven->spokeConnector:Process,343519,1304686384941,1.197,448184562268547379,0.536476921035451212,0,0,0,0
3,2023-02-01 19:18:21.265627,137,0xcf4795d2e3f8a8da75a54771146631cf9b2eb4d9189fd01bc9546b2e81d1188b,0x9dc1beca17b3c575746e06d05a83ceed04deae79c9987e8e855fff026e22888d,465911,$0.47,spokeConnector:Process,297108,1304686384941,1.197,387632762457050628,0.463996416661089601,0,0,0,0
4,2023-02-01 19:18:21.256196,137,0x34a9198e0c76eb165df62e1b7c9aa6c7e612c98a1f14ac2258fe37ea38edadc9,0xedf8fc060a490b0d35925e9dd0e4883d243acddfd86995aa3f88661de1481e33,465848,$0.47,spokeConnector:Process,297068,1304686384941,1.197,387580575001652988,0.463933948276978626,0,0,0,0
5,2023-02-01 19:18:21.186145,137,0xb9928ebcc8855761e399b067d9bd7bd6310d6ae6b96306758050e438423c83ca,0xe7ecdf67118bed75fca3057da4c0b5b39865f889da43b822751979099b05e48b,458660,$0.46,spokeConnector:Process,297088,1276859439471,1.197,379339617153560448,0.454069521732811856,0,0,0,0
6,2023-02-01 19:18:21.190424,137,0xa1e2ea919371a7221106e1d612c23436d484e4695d698c61d163662bed8c098a,0xd0f253ed3b12be5a5f824ef99aa7688d0b5b103e105748a871f86694347ff6ea,455943,$0.46,spokeConnector:Process,297088,1276859439471,1.197,379339617153560448,0.454069521732811856,0,0,0,0
7,2023-02-01 19:18:21.264112,137,0x6e1f77b7498ee5125fa53b657959a7aa7c8b32b9971b0d9dd2d9cebe1ccdbadb,0x97491da46bb20577e868bdf927ad5af31a969892c216e257740dd676d3c150e4,448504,$0.45,spokeConnector:Process,315494,1175741515166,1.197,370939393585782004,0.444014454122181058,0,0,0,0
8,2023-02-01 19:18:21.175618,137,0xfcf3e23be8bf8c522b4d91363c9764a01bca91b62acedb6953a1c12e12d34fb5,0x048f7907078bf4c6a6bf4f18287dfa3896efbe0f111a7f1d5d4fd1f68610f189,445846,$0.45,spokeConnector:Process,315494,1175741515166,1.197,370939393585782004,0.444014454122181058,0,0,0,0
9,2023-02-01 19:18:21.193216,137,0xcd8760f27f59b85c4ff2ab43ac30a458c22ddd0d9987ea4f8ff42bd1bc0c16a0,0xb2b2cf8698688847da057de0b2fabbe96cb54ef076143accd9840e7be645d9ad,422320,$0.42,spokeConnector:Process,297076,1175741515166,1.197,349284586359454616,0.418093649872267175,0,0,0,0
10,2023-02-01 19:18:21.191244,137,0x65ec592de02056d7ff9aefd798cd86d9ea9f3115c473e5bef776aa1fe0086313,0x55028414ae86a6bcc7d7184084095e1f8770c516d5e17712adafd0ec179112dc,419824,$0.42,spokeConnector:Process,297080,1175741515166,1.197,349289289325515280,0.41809927932264179,0,0,0,0
11,2023-02-01 19:18:21.193959,137,0xe12f0987eb11f3724fb21ecc4bb90005679893cb759ae3799f74048ee3b4c4f7,0xde0b6d55e312a758eb64e062e748303913448c26be3dfe8e9e7e221f71c0e78c,419756,$0.42,spokeConnector:Process,297032,1175741515166,1.197,349232853732787312,0.418031725918146412,0,0,0,0
12,2023-02-01 19:18:21.157332,137,0x29c898b2d5f8d9eb6932d6f30c90f33201d8fa20543e3451286fe92586df133c,0xc7631709aad8dc5984817a4609682270dd613b27e7672b88005a7ef587506608,412336,$0.41,spokeConnector:Process,297084,1147914569696,1.197,341027052023566464,0.408209381272209057,0,0,0,0
13,2023-02-01 19:18:21.185429,137,0x388d3c0da54c52a13dc77e9bdd9c22063a8089425e9ea95bf8c5229899bcf846,0xbfe5f610c542663ca00413bd54a45b97bd083a95b50343595c038745e199eca2,409916,$0.41,spokeConnector:Process,297100,1147914569696,1.197,341045418656681600,0.408231366132047875,0,0,0,0
14,2023-02-01 19:18:21.174949,137,0x9fb6cac7f2985c38dcbf07827c5f56b4410e317aa458c5ea95b0d85a1ce977ef,0xf512dda75b757b40950e0efda61827547ea7bc27c318ef3672e46aec4cdc5066,409899,$0.41,spokeConnector:Process,297088,1147914569696,1.197,341031643681845248,0.408214877487168761,0,0,0,0
15,2023-02-01 19:18:36.052926,137,0x0d5b911071e3d12b1c275d6284d9ba2beced897aba1401e98d16bd49220af477,0x78c7bdf4bfb807a44923a8cdcb71ef9003ee9d0c972f1e0fc6b79b2b099dd9ef,392493,$0.39,spokeConnector:Process,296736,1100472855800,1.197,326549913338668800,0.390880246266386553,0,0,0,0
16,2023-02-02 22:11:20.098869,137,0x5c3ee90bc813a3cf98d1310a463a0f3f5b2c493fedbae74045ae6d2190d1aa62,0xe93ae74ea4b3c3def085b92a5bb3d51bb611f5aa4555f48987c3b92de872f5c9,299795,$0.30,connext:TokenSwap->connext:Executed,404044,565845977457,1.186,228626672115636108,0.270922606457028787,100,1.0001925982447575,203732042716585664,0.20373204271658565
17,2023-02-02 15:09:08.141131,137,0xda14084483853207d35ddb327214c59bbac9cb063025580ee782cdce0a2d717c,0x2d14e651ed8a70a053fe0560a194aee6afbee9576238bad0fe15726be111cac0,270435,$0.27,connext:TokenSwap->connext:Executed,404068,500199052806,1.186,202114430869214808,0.239505600580019547,10,1644.2982462045045,164816698825052,0.27100776824463535
